lat,lng,Place,Country,Language,Year,Translator,Title,Publisher,Address,Comments
46.5591676926,15.6372428413,Maribor,Slovenia,Slovenian,1955,France Borko & Ivan Dolenc,Sirota iz Lowooda,VeËer,Svetozarevska ulica 14. Maribor. Slovenia,
46.6643374026,16.1641061448,Murska Sobota,Slovenia,Slovenian,1970,Boûena Legiöa-Velikonja,Sirota iz Lowooda,Pomurska zaloûba,Lendavska ulica 1. Murska Sobota. Slovenia,
46.0553745878,14.5128022866,Ljubljana,Slovenia,Slovenian,1991,Boûena Legiöa-Velikonja,Jane Eyre I,Založništvo slovenske knjige,Slomškova ulica 18. Ljubljana. Slovenia,
